province,region,prop
Bangkok,BKK & Greater,0.045521839
Pathum Thani,BKK & Greater,0.040919444
Nonthaburi,BKK & Greater,0.689456057
Samut Prakan,BKK & Greater,2.573170517
Chai Nat,Central,0.030923888
Sing Buri,Central,0.013404904
Lop Buri,Central,0.063857183
Ang Thong,Central,0
Saraburi,Central,0.178066648
Phra Nakhon Si Ayutthaya,Central,0.393295339
Nakhon Nayok,Eastern,0.032531033
Prachin Buri,Eastern,0.041130691
Chachoengsao,Eastern,0.438171495
Chon Buri,Eastern,0.039469002
Rayong,Eastern,0.038724685
Chanthaburi,Eastern,0.028234461
Trat,Eastern,0.043224373
Sa Kaeo,Eastern,0.058744574
Suphan Buri,Western,0.085029467
Kanchanaburi,Western,0
Nakhon Pathom,Western,0.163515703
Ratchaburi,Western,0.150016018
Samut Sakhon,Western,0.066009399
Samut Songkhram,Western,0
Phetchaburi,Western,0.131855144
Prachuap Khiri Khan,Western,0
Chaiyaphum,North Eastern,0.225993274
Yasothon,North Eastern,0
Ubon Ratchathani,North Eastern,0.272636954
Si Sa Ket,North Eastern,0.13503442
Buri Ram,North Eastern,0.094467566
Nakhon Ratchasima,North Eastern,0.130352716
Surin,North Eastern,0.036370237
Amnat Charoen,North Eastern,0.17681215
Nong Bua Lam Phu,North Eastern,0.093582682
Bueng Kan,North Eastern,0.009829213
Nong Khai,North Eastern,0
Loei,North Eastern,0.000813787
Udon Thani,North Eastern,0.200635437
Nakhon Phanom,North Eastern,0.837975592
Sakon Nakhon,North Eastern,0.029001513
Khon Kaen,North Eastern,0.194150324
Kalasin,North Eastern,0.026058232
Maha Sarakham,North Eastern,0.007793326
Roi Et,North Eastern,0.058827433
Mukdahan,North Eastern,0.009980512
Chiang Rai,Northern,0.357673046
Mae Hong Son,Northern,0.028309868
Chiang Mai,Northern,0.25147766
Phayao,Northern,0.018017569
Nan,Northern,0.036724324
Lamphun,Northern,0
Lampang,Northern,0.066853538
Phrae,Northern,0.037397946
Uttaradit,Northern,0.025413492
Sukhothai,Northern,0.108506048
Tak,Northern,0.151712607
Phitsanulok,Northern,0.113228226
Kamphaeng Phet,Northern,0.096627984
Phichit,Northern,0.06256647
Phetchabun,Northern,0.172593738
Nakhon Sawan,Northern,0.222575348
Uthai Thani,Northern,0.048768006
Chumphon,Southern,0.10092897
Ranong,Southern,0.039993417
Surat Thani,Southern,0.139829576
Phangnga,Southern,0.030334301
Nakhon Si Thammarat,Southern,0.0959319
Krabi,Southern,0.08613277
Phuket,Southern,0.066829336
Phatthalung,Southern,0.045272175
Trang,Southern,0.187735145
Songkhla,Southern,0.124448165
Satun,Southern,0.085621487
Pattani,Southern,0.010861725
Yala,Southern,0.022279091
Narathiwat,Southern,0.295739849
